Date,SILVER18DECFUT O,SILVER18DECFUT H,SILVER18DECFUT L,SILVER18DECFUT C,SILVER18DECFUT V
11/29/2018 10:28:00 PM,35715,35720,35715,35720,4
11/29/2018 10:27:00 PM,35715,35715,35715,35715,1
11/29/2018 10:26:00 PM,35715,35715,35715,35715,7
11/29/2018 10:25:00 PM,35713,35719,35713,35715,7
11/29/2018 10:24:00 PM,35703,35713,35703,35713,8
11/29/2018 10:23:00 PM,35709,35711,35703,35703,9
11/29/2018 10:22:00 PM,35720,35720,35700,35709,31
11/29/2018 10:21:00 PM,35720,35720,35720,35720,0
11/29/2018 10:20:00 PM,35722,35728,35720,35720,7
11/29/2018 10:19:00 PM,35722,35722,35722,35722,2
11/29/2018 10:18:00 PM,35726,35730,35722,35722,2
11/29/2018 10:17:00 PM,35730,35730,35726,35726,2
11/29/2018 10:16:00 PM,35743,35743,35730,35730,8
11/29/2018 10:15:00 PM,35743,35743,35743,35743,1
11/29/2018 10:14:00 PM,35740,35743,35725,35743,6
11/29/2018 10:13:00 PM,35742,35742,35733,35740,6
11/29/2018 10:12:00 PM,35751,35751,35742,35742,7
11/29/2018 10:11:00 PM,35746,35754,35746,35751,5
11/29/2018 10:10:00 PM,35736,35754,35736,35746,5
11/29/2018 10:09:00 PM,35726,35737,35726,35736,3
11/29/2018 10:08:00 PM,35722,35726,35722,35726,1
11/29/2018 10:07:00 PM,35716,35722,35716,35722,3
11/29/2018 10:06:00 PM,35731,35731,35716,35716,14
11/29/2018 10:05:00 PM,35730,35731,35725,35731,4
11/29/2018 10:04:00 PM,35733,35740,35730,35730,7
11/29/2018 10:03:00 PM,35735,35735,35730,35733,6
11/29/2018 10:02:00 PM,35725,35734,35725,35730,12
11/29/2018 10:01:00 PM,35734,35734,35719,35725,23
11/29/2018 10:00:00 PM,35728,35737,35724,35734,12
11/29/2018 9:59:00 PM,35728,35735,35728,35728,7
11/29/2018 9:58:00 PM,35730,35730,35723,35728,6
11/29/2018 9:57:00 PM,35733,35733,35723,35730,3
11/29/2018 9:56:00 PM,35731,35733,35727,35733,10
11/29/2018 9:55:00 PM,35726,35731,35720,35731,23
11/29/2018 9:54:00 PM,35738,35740,35729,35729,31
11/29/2018 9:53:00 PM,35750,35763,35735,35738,34
11/29/2018 9:52:00 PM,35815,35815,35740,35750,69
11/29/2018 9:51:00 PM,35752,35815,35750,35815,39
11/29/2018 9:50:00 PM,35750,35752,35750,35752,10
11/29/2018 9:49:00 PM,35754,35754,35750,35750,9
11/29/2018 9:48:00 PM,35756,35756,35750,35754,24
11/29/2018 9:47:00 PM,35754,35756,35754,35756,1
11/29/2018 9:46:00 PM,35758,35758,35754,35754,4
11/29/2018 9:45:00 PM,35754,35758,35754,35758,2
11/29/2018 9:44:00 PM,35754,35755,35754,35754,4
11/29/2018 9:43:00 PM,35750,35754,35750,35754,7
11/29/2018 9:42:00 PM,35747,35750,35747,35750,22
11/29/2018 9:41:00 PM,35750,35750,35748,35748,5
11/29/2018 9:40:00 PM,35756,35756,35750,35750,6
11/29/2018 9:39:00 PM,35756,35759,35755,35755,2
11/29/2018 9:38:00 PM,35755,35765,35755,35756,5
11/29/2018 9:37:00 PM,35760,35760,35750,35750,12
11/29/2018 9:36:00 PM,35772,35772,35760,35760,4
11/29/2018 9:35:00 PM,35781,35785,35772,35772,7
11/29/2018 9:34:00 PM,35772,35781,35772,35781,6
11/29/2018 9:33:00 PM,35775,35777,35772,35772,3
11/29/2018 9:32:00 PM,35775,35777,35775,35775,10
11/29/2018 9:31:00 PM,35771,35775,35766,35775,7
11/29/2018 9:30:00 PM,35764,35770,35764,35767,6
11/29/2018 9:29:00 PM,35762,35764,35762,35764,2
11/29/2018 9:28:00 PM,35763,35763,35762,35762,2
11/29/2018 9:27:00 PM,35769,35769,35764,35764,5
11/29/2018 9:26:00 PM,35776,35776,35764,35769,13
11/29/2018 9:25:00 PM,35775,35776,35765,35776,5
11/29/2018 9:24:00 PM,35771,35776,35771,35775,3
11/29/2018 9:23:00 PM,35767,35771,35767,35771,3
11/29/2018 9:22:00 PM,35772,35775,35764,35767,8
11/29/2018 9:21:00 PM,35765,35775,35765,35772,5
11/29/2018 9:20:00 PM,35769,35769,35765,35765,8
11/29/2018 9:19:00 PM,35776,35776,35769,35769,10
11/29/2018 9:18:00 PM,35775,35776,35775,35776,5
11/29/2018 9:17:00 PM,35770,35775,35770,35775,15
11/29/2018 9:16:00 PM,35775,35775,35770,35770,8
11/29/2018 9:15:00 PM,35781,35781,35775,35775,2
11/29/2018 9:14:00 PM,35780,35781,35776,35781,4
11/29/2018 9:13:00 PM,35780,35785,35777,35780,24
11/29/2018 9:12:00 PM,35780,35780,35780,35780,0
11/29/2018 9:11:00 PM,35782,35785,35780,35780,5
11/29/2018 9:10:00 PM,35788,35788,35782,35782,1
11/29/2018 9:09:00 PM,35782,35790,35782,35788,5
11/29/2018 9:08:00 PM,35794,35794,35782,35782,4
11/29/2018 9:07:00 PM,35790,35795,35790,35794,6
11/29/2018 9:06:00 PM,35780,35790,35780,35790,5
11/29/2018 9:05:00 PM,35777,35785,35776,35780,5
11/29/2018 9:04:00 PM,35801,35801,35777,35777,26
11/29/2018 9:03:00 PM,35825,35825,35799,35801,25
11/29/2018 9:02:00 PM,35802,35825,35802,35825,19
11/29/2018 9:01:00 PM,35830,35831,35767,35802,79
11/29/2018 9:00:00 PM,35800,35830,35800,35830,54
11/29/2018 8:59:00 PM,35791,35800,35785,35800,22
11/29/2018 8:58:00 PM,35796,35800,35770,35791,26
11/29/2018 8:57:00 PM,35787,35796,35787,35796,3
11/29/2018 8:56:00 PM,35780,35810,35780,35787,29
11/29/2018 8:55:00 PM,35780,35785,35780,35780,17
11/29/2018 8:54:00 PM,35772,35780,35772,35780,7
11/29/2018 8:53:00 PM,35777,35779,35770,35772,21
11/29/2018 8:52:00 PM,35772,35777,35772,35777,4
11/29/2018 8:51:00 PM,35780,35780,35772,35772,7
11/29/2018 8:50:00 PM,35766,35773,35746,35773,21
11/29/2018 8:49:00 PM,35764,35766,35764,35766,2
11/29/2018 8:48:00 PM,35744,35764,35744,35764,7
11/29/2018 8:47:00 PM,35739,35744,35735,35744,6
11/29/2018 8:46:00 PM,35732,35739,35732,35739,2
11/29/2018 8:45:00 PM,35721,35732,35721,35732,6
11/29/2018 8:44:00 PM,35737,35737,35721,35721,21
11/29/2018 8:43:00 PM,35737,35737,35731,35731,2
11/29/2018 8:42:00 PM,35734,35737,35734,35737,5
11/29/2018 8:41:00 PM,35735,35735,35734,35734,6
11/29/2018 8:40:00 PM,35742,35742,35731,35731,8
11/29/2018 8:39:00 PM,35721,35742,35721,35742,11
11/29/2018 8:38:00 PM,35720,35723,35720,35721,6
11/29/2018 8:37:00 PM,35727,35727,35720,35720,24
11/29/2018 8:36:00 PM,35731,35731,35727,35727,22
11/29/2018 8:35:00 PM,35751,35751,35730,35744,14
11/29/2018 8:34:00 PM,35751,35756,35751,35751,3
11/29/2018 8:33:00 PM,35752,35755,35742,35751,19
11/29/2018 8:32:00 PM,35733,35756,35733,35752,13
11/29/2018 8:31:00 PM,35755,35755,35721,35733,22
11/29/2018 8:30:00 PM,35762,35762,35729,35755,50
11/29/2018 8:29:00 PM,35765,35769,35762,35762,13
11/29/2018 8:28:00 PM,35762,35770,35762,35765,8
11/29/2018 8:27:00 PM,35792,35792,35756,35762,16
11/29/2018 8:26:00 PM,35790,35792,35790,35792,4
11/29/2018 8:25:00 PM,35800,35803,35790,35790,8
11/29/2018 8:24:00 PM,35800,35805,35800,35800,14
11/29/2018 8:23:00 PM,35795,35800,35795,35800,3
11/29/2018 8:22:00 PM,35790,35795,35790,35795,5
11/29/2018 8:21:00 PM,35782,35790,35782,35790,9
11/29/2018 8:20:00 PM,35790,35793,35780,35782,46
11/29/2018 8:19:00 PM,35800,35800,35790,35790,20
11/29/2018 8:18:00 PM,35800,35810,35800,35800,38
11/29/2018 8:17:00 PM,35811,35811,35800,35800,42
11/29/2018 8:16:00 PM,35820,35820,35803,35811,29
11/29/2018 8:15:00 PM,35810,35820,35801,35820,41
11/29/2018 8:14:00 PM,35820,35823,35810,35810,59
11/29/2018 8:13:00 PM,35795,35821,35795,35817,98
11/29/2018 8:12:00 PM,35787,35795,35787,35795,15
11/29/2018 8:11:00 PM,35770,35787,35770,35787,27
11/29/2018 8:10:00 PM,35770,35770,35770,35770,4
11/29/2018 8:09:00 PM,35770,35770,35770,35770,0
11/29/2018 8:08:00 PM,35748,35775,35748,35770,13
11/29/2018 8:07:00 PM,35788,35788,35741,35748,31
11/29/2018 8:06:00 PM,35787,35788,35780,35788,3
11/29/2018 8:05:00 PM,35773,35787,35773,35787,9
11/29/2018 8:04:00 PM,35768,35777,35768,35773,8
11/29/2018 8:03:00 PM,35736,35768,35736,35768,3
11/29/2018 8:02:00 PM,35760,35760,35726,35736,17
11/29/2018 8:01:00 PM,35751,35760,35751,35760,2
11/29/2018 8:00:00 PM,35768,35768,35750,35751,5
11/29/2018 7:59:00 PM,35760,35768,35756,35768,4
11/29/2018 7:58:00 PM,35775,35775,35760,35760,4
11/29/2018 7:57:00 PM,35788,35790,35757,35775,24
11/29/2018 7:56:00 PM,35785,35795,35785,35790,51
11/29/2018 7:55:00 PM,35780,35785,35770,35785,22
11/29/2018 7:54:00 PM,35760,35780,35750,35780,51
11/29/2018 7:53:00 PM,35752,35760,35724,35760,25
11/29/2018 7:52:00 PM,35756,35756,35715,35752,31
11/29/2018 7:51:00 PM,35758,35760,35710,35710,19
11/29/2018 7:50:00 PM,35733,35758,35733,35758,4
11/29/2018 7:49:00 PM,35730,35740,35730,35733,3
11/29/2018 7:48:00 PM,35739,35744,35730,35730,5
11/29/2018 7:47:00 PM,35759,35759,35735,35739,8
11/29/2018 7:46:00 PM,35761,35761,35759,35759,9
11/29/2018 7:45:00 PM,35760,35763,35758,35761,5
11/29/2018 7:44:00 PM,35763,35763,35755,35760,12
11/29/2018 7:43:00 PM,35764,35764,35763,35763,2
11/29/2018 7:42:00 PM,35763,35765,35763,35764,10
11/29/2018 7:41:00 PM,35760,35772,35760,35770,18
11/29/2018 7:40:00 PM,35743,35762,35742,35760,29
11/29/2018 7:39:00 PM,35743,35743,35734,35743,3
11/29/2018 7:38:00 PM,35734,35744,35734,35743,3
11/29/2018 7:37:00 PM,35725,35735,35725,35734,17
11/29/2018 7:36:00 PM,35721,35725,35721,35725,9
11/29/2018 7:35:00 PM,35720,35721,35705,35721,6
11/29/2018 7:34:00 PM,35706,35720,35694,35720,13
11/29/2018 7:33:00 PM,35701,35706,35690,35706,20
11/29/2018 7:32:00 PM,35689,35701,35689,35701,21
11/29/2018 7:31:00 PM,35703,35715,35681,35689,35
11/29/2018 7:30:00 PM,35718,35748,35692,35703,68
11/29/2018 7:29:00 PM,35723,35751,35718,35718,44
11/29/2018 7:28:00 PM,35742,35742,35720,35723,12
11/29/2018 7:27:00 PM,35750,35750,35733,35742,6
11/29/2018 7:26:00 PM,35757,35757,35750,35750,7
11/29/2018 7:25:00 PM,35735,35757,35735,35757,5
11/29/2018 7:24:00 PM,35753,35753,35729,35735,9
11/29/2018 7:23:00 PM,35746,35753,35746,35753,4
11/29/2018 7:22:00 PM,35735,35746,35735,35746,2
11/29/2018 7:21:00 PM,35725,35735,35725,35735,30
11/29/2018 7:20:00 PM,35743,35745,35715,35725,17
11/29/2018 7:19:00 PM,35744,35753,35743,35743,6
11/29/2018 7:18:00 PM,35750,35750,35733,35744,12
11/29/2018 7:17:00 PM,35762,35762,35750,35750,18
11/29/2018 7:16:00 PM,35767,35774,35761,35762,12
11/29/2018 7:15:00 PM,35769,35775,35767,35767,10
11/29/2018 7:14:00 PM,35758,35769,35758,35769,8
11/29/2018 7:13:00 PM,35758,35766,35758,35758,8
11/29/2018 7:12:00 PM,35770,35770,35758,35758,30
11/29/2018 7:11:00 PM,35767,35770,35766,35770,34
11/29/2018 7:10:00 PM,35758,35770,35758,35767,11
11/29/2018 7:09:00 PM,35760,35764,35758,35758,6
11/29/2018 7:08:00 PM,35768,35768,35760,35760,3
11/29/2018 7:07:00 PM,35762,35770,35762,35768,12
11/29/2018 7:06:00 PM,35759,35760,35758,35760,8
11/29/2018 7:05:00 PM,35762,35764,35752,35759,15
11/29/2018 7:04:00 PM,35770,35770,35759,35762,31
11/29/2018 7:03:00 PM,35740,35775,35740,35770,49
11/29/2018 7:02:00 PM,35764,35764,35740,35740,20
11/29/2018 7:01:00 PM,35760,35765,35754,35764,21
11/29/2018 7:00:00 PM,35750,35760,35744,35760,11
11/29/2018 6:59:00 PM,35751,35751,35741,35750,26
11/29/2018 6:58:00 PM,35750,35754,35737,35751,40
11/29/2018 6:57:00 PM,35750,35753,35739,35750,37
11/29/2018 6:56:00 PM,35763,35763,35709,35750,31
11/29/2018 6:55:00 PM,35735,35765,35735,35763,113
11/29/2018 6:54:00 PM,35691,35735,35687,35735,59
11/29/2018 6:53:00 PM,35690,35694,35690,35691,4
11/29/2018 6:52:00 PM,35693,35693,35685,35690,14
11/29/2018 6:51:00 PM,35677,35693,35677,35693,17
11/29/2018 6:50:00 PM,35691,35710,35677,35677,35
11/29/2018 6:49:00 PM,35698,35698,35685,35691,14
11/29/2018 6:48:00 PM,35690,35698,35690,35698,37
11/29/2018 6:47:00 PM,35685,35690,35685,35690,14
11/29/2018 6:46:00 PM,35689,35689,35660,35679,64
11/29/2018 6:45:00 PM,35702,35702,35690,35690,21
11/29/2018 6:44:00 PM,35706,35706,35695,35695,5
11/29/2018 6:43:00 PM,35706,35708,35706,35706,11
11/29/2018 6:42:00 PM,35700,35710,35700,35710,11
11/29/2018 6:41:00 PM,35710,35710,35700,35700,2
11/29/2018 6:40:00 PM,35703,35709,35690,35709,57
11/29/2018 6:39:00 PM,35728,35728,35703,35703,15
11/29/2018 6:38:00 PM,35723,35728,35720,35728,7
11/29/2018 6:37:00 PM,35724,35726,35720,35723,12
11/29/2018 6:36:00 PM,35728,35728,35724,35724,17
11/29/2018 6:35:00 PM,35726,35728,35725,35728,16
11/29/2018 6:34:00 PM,35704,35729,35704,35726,32
11/29/2018 6:33:00 PM,35698,35704,35698,35704,16
11/29/2018 6:32:00 PM,35700,35701,35695,35698,10
11/29/2018 6:31:00 PM,35692,35700,35692,35700,3
11/29/2018 6:30:00 PM,35690,35695,35685,35692,18
11/29/2018 6:29:00 PM,35700,35700,35690,35690,30
11/29/2018 6:28:00 PM,35709,35711,35692,35700,33
11/29/2018 6:27:00 PM,35712,35716,35708,35709,8
11/29/2018 6:26:00 PM,35716,35723,35712,35712,17
11/29/2018 6:25:00 PM,35729,35729,35710,35716,70
11/29/2018 6:24:00 PM,35723,35735,35723,35729,7
11/29/2018 6:23:00 PM,35719,35723,35718,35723,29
11/29/2018 6:22:00 PM,35732,35732,35719,35719,28
11/29/2018 6:21:00 PM,35708,35732,35708,35732,22
11/29/2018 6:20:00 PM,35720,35734,35703,35708,68
11/29/2018 6:19:00 PM,35699,35720,35699,35720,54
11/29/2018 6:18:00 PM,35692,35707,35691,35707,32
11/29/2018 6:17:00 PM,35700,35710,35692,35692,15
11/29/2018 6:16:00 PM,35700,35700,35700,35700,14
11/29/2018 6:15:00 PM,35694,35700,35694,35700,9
11/29/2018 6:14:00 PM,35690,35696,35690,35694,17
11/29/2018 6:13:00 PM,35685,35690,35684,35690,14
11/29/2018 6:12:00 PM,35680,35690,35680,35685,20
11/29/2018 6:11:00 PM,35684,35689,35677,35680,58
11/29/2018 6:10:00 PM,35700,35700,35683,35684,37
11/29/2018 6:09:00 PM,35712,35712,35700,35700,38
11/29/2018 6:08:00 PM,35716,35716,35712,35712,19
11/29/2018 6:07:00 PM,35720,35724,35716,35716,15
11/29/2018 6:06:00 PM,35720,35725,35718,35720,25
11/29/2018 6:05:00 PM,35715,35725,35715,35720,25
11/29/2018 6:04:00 PM,35720,35720,35710,35715,34
11/29/2018 6:03:00 PM,35717,35734,35712,35720,29
11/29/2018 6:02:00 PM,35739,35739,35683,35717,39
11/29/2018 6:01:00 PM,35716,35740,35716,35739,48
11/29/2018 6:00:00 PM,35710,35720,35706,35716,77
11/29/2018 5:59:00 PM,35687,35703,35687,35703,23
11/29/2018 5:58:00 PM,35692,35698,35684,35687,40
11/29/2018 5:57:00 PM,35704,35704,35692,35692,12
11/29/2018 5:56:00 PM,35700,35706,35696,35704,13
11/29/2018 5:55:00 PM,35685,35700,35685,35696,22
11/29/2018 5:54:00 PM,35680,35685,35680,35685,7
11/29/2018 5:53:00 PM,35681,35688,35679,35680,15
11/29/2018 5:52:00 PM,35691,35694,35679,35681,20
11/29/2018 5:51:00 PM,35669,35692,35669,35691,31
11/29/2018 5:50:00 PM,35640,35674,35637,35669,60
11/29/2018 5:49:00 PM,35630,35640,35630,35640,20
11/29/2018 5:48:00 PM,35629,35636,35620,35630,37
11/29/2018 5:47:00 PM,35623,35638,35623,35629,27
11/29/2018 5:46:00 PM,35629,35632,35622,35623,36
11/29/2018 5:45:00 PM,35628,35630,35624,35629,33
11/29/2018 5:44:00 PM,35630,35635,35625,35628,28
11/29/2018 5:43:00 PM,35620,35630,35620,35630,10
11/29/2018 5:42:00 PM,35602,35616,35602,35616,12
11/29/2018 5:41:00 PM,35620,35620,35602,35602,31
11/29/2018 5:40:00 PM,35608,35626,35608,35620,23
11/29/2018 5:39:00 PM,35620,35625,35607,35608,22
11/29/2018 5:38:00 PM,35612,35625,35612,35620,20
11/29/2018 5:37:00 PM,35610,35630,35610,35612,23
11/29/2018 5:36:00 PM,35610,35620,35610,35610,52
11/29/2018 5:35:00 PM,35610,35615,35608,35610,39
11/29/2018 5:34:00 PM,35605,35621,35604,35608,49
11/29/2018 5:33:00 PM,35605,35617,35596,35605,81
11/29/2018 5:32:00 PM,35625,35630,35605,35605,44
11/29/2018 5:31:00 PM,35601,35625,35592,35625,58
11/29/2018 5:30:00 PM,35663,35663,35572,35601,238
11/29/2018 5:29:00 PM,35662,35664,35651,35660,43
11/29/2018 5:28:00 PM,35685,35690,35662,35662,25
11/29/2018 5:27:00 PM,35690,35690,35685,35685,7
11/29/2018 5:26:00 PM,35690,35690,35684,35690,9
11/29/2018 5:25:00 PM,35700,35700,35690,35690,31
11/29/2018 5:24:00 PM,35693,35700,35693,35700,12
11/29/2018 5:23:00 PM,35693,35700,35692,35693,6
11/29/2018 5:22:00 PM,35697,35700,35693,35693,9
11/29/2018 5:21:00 PM,35704,35704,35697,35697,2
11/29/2018 5:20:00 PM,35705,35705,35697,35704,14
11/29/2018 5:19:00 PM,35710,35713,35705,35705,17
11/29/2018 5:18:00 PM,35718,35723,35710,35710,13
11/29/2018 5:17:00 PM,35720,35725,35718,35718,4
11/29/2018 5:16:00 PM,35722,35725,35722,35725,6
11/29/2018 5:15:00 PM,35729,35729,35729,35729,3
11/29/2018 5:14:00 PM,35740,35740,35722,35729,35
11/29/2018 5:13:00 PM,35738,35744,35735,35742,5
11/29/2018 5:12:00 PM,35738,35738,35738,35738,2
11/29/2018 5:11:00 PM,35735,35738,35732,35738,3
11/29/2018 5:10:00 PM,35735,35735,35735,35735,1
11/29/2018 5:09:00 PM,35725,35735,35725,35735,1
11/29/2018 5:08:00 PM,35723,35733,35720,35725,9
11/29/2018 5:07:00 PM,35725,35725,35723,35723,5
11/29/2018 5:06:00 PM,35725,35727,35720,35725,14
11/29/2018 5:05:00 PM,35722,35726,35720,35725,10
11/29/2018 5:04:00 PM,35722,35722,35720,35722,4
11/29/2018 5:03:00 PM,35713,35722,35713,35722,5
11/29/2018 5:02:00 PM,35709,35720,35709,35713,7
11/29/2018 5:01:00 PM,35692,35709,35692,35709,8
11/29/2018 5:00:00 PM,35696,35700,35692,35692,15
11/29/2018 4:59:00 PM,35712,35712,35696,35696,31
11/29/2018 4:58:00 PM,35719,35719,35710,35712,15
11/29/2018 4:57:00 PM,35725,35725,35708,35719,22
11/29/2018 4:56:00 PM,35732,35732,35723,35725,23
11/29/2018 4:55:00 PM,35735,35742,35732,35732,6
11/29/2018 4:54:00 PM,35739,35739,35735,35735,1
11/29/2018 4:53:00 PM,35720,35739,35720,35739,9
11/29/2018 4:52:00 PM,35727,35728,35720,35720,15
11/29/2018 4:51:00 PM,35727,35735,35727,35727,4
11/29/2018 4:50:00 PM,35734,35738,35727,35727,19
11/29/2018 4:49:00 PM,35751,35751,35734,35734,10
11/29/2018 4:48:00 PM,35750,35756,35750,35753,7
11/29/2018 4:47:00 PM,35748,35752,35747,35750,13
11/29/2018 4:46:00 PM,35743,35749,35743,35748,18
11/29/2018 4:45:00 PM,35735,35750,35735,35743,36
11/29/2018 4:44:00 PM,35715,35735,35715,35735,10
11/29/2018 4:43:00 PM,35715,35721,35714,35715,27
11/29/2018 4:42:00 PM,35716,35721,35715,35715,26
11/29/2018 4:41:00 PM,35707,35725,35707,35716,15
11/29/2018 4:40:00 PM,35705,35707,35700,35707,22
11/29/2018 4:39:00 PM,35695,35712,35693,35706,28
11/29/2018 4:38:00 PM,35687,35695,35687,35695,14
11/29/2018 4:37:00 PM,35669,35689,35669,35687,33
11/29/2018 4:36:00 PM,35681,35689,35661,35669,62
11/29/2018 4:35:00 PM,35685,35685,35678,35681,40
11/29/2018 4:34:00 PM,35716,35716,35680,35686,195
11/29/2018 4:33:00 PM,35722,35722,35715,35716,54
11/29/2018 4:32:00 PM,35730,35730,35720,35720,24
11/29/2018 4:31:00 PM,35739,35739,35725,35730,28
11/29/2018 4:30:00 PM,35749,35749,35739,35739,16
11/29/2018 4:29:00 PM,35734,35750,35731,35749,24
11/29/2018 4:28:00 PM,35749,35750,35734,35734,13
11/29/2018 4:27:00 PM,35740,35755,35740,35749,16
11/29/2018 4:26:00 PM,35741,35750,35740,35740,3
11/29/2018 4:25:00 PM,35740,35741,35740,35741,1
11/29/2018 4:24:00 PM,35750,35754,35740,35740,39
11/29/2018 4:23:00 PM,35751,35758,35750,35750,13
11/29/2018 4:22:00 PM,35751,35757,35750,35750,26
11/29/2018 4:21:00 PM,35760,35760,35750,35751,20
11/29/2018 4:20:00 PM,35750,35760,35750,35760,58
11/29/2018 4:19:00 PM,35754,35756,35751,35751,39
11/29/2018 4:18:00 PM,35755,35755,35751,35754,23
11/29/2018 4:17:00 PM,35760,35760,35755,35755,7
11/29/2018 4:16:00 PM,35762,35762,35755,35760,28
11/29/2018 4:15:00 PM,35770,35770,35762,35762,4
11/29/2018 4:14:00 PM,35766,35770,35766,35770,2
11/29/2018 4:13:00 PM,35774,35774,35762,35766,49
